node,x,y,z
147,6.846977998736116,-173.7427399431827,1216.950981635683
148,19.08061678622035,-176.6169615658297,1230.63133072204
149,34.01167338079777,-174.1690257171737,1241.391173656052
150,49.46959542628808,-165.4214892667116,1246.337281519458
151,48.50385808974535,-133.4920111877526,1256.189592520254
152,54.9424085418961,-120.4908764827668,1248.921981243312
153,59.73943719534298,-103.581859922046,1236.307740635561
154,54.1001087763096,-91.49477847937217,1219.27367888222
155,39.85225822909982,-88.14733055134104,1203.34092381213
156,21.61393891265194,-94.6244992740233,1193.673644894425
157,5.296605953314638,-108.8268863361821,1193.405227697526
158,-5.255833781135223,-120.8614860392675,1196.0724546382
159,-18.46036890004802,-132.9328616695717,1196.43172425366
160,-21.38085856852612,-150.4630598117438,1211.324142320687
161,-10.19420102047527,-160.2014851131468,1230.92121497746
162,6.029587549792143,-164.0131696507276,1249.063575885698
163,25.53996451648358,-161.4868339033175,1263.793668948463
164,43.94490937474799,-147.5946174120361,1266.216847351606
166,9.103686054005818,-116.2150649354062,1240.950854766937
167,5.473430461577366,-125.9806372393485,1245.061328595513
168,12.00431591069709,-131.9353001965307,1251.941520076418
169,22.16545697127058,-128.1243907329122,1254.711237765045
170,25.79571256185163,-118.3588184613143,1250.600763925107
171,19.26482709197888,-112.4041556319742,1243.72057240447
172,8.077404053852574,-115.2793321937981,1239.869681817038
173,3.876679732261486,-126.579494389226,1244.626087260308
174,11.4338471693236,-133.4698901596082,1252.587451669088
175,23.19173897747963,-129.0601234371681,1255.792410726555
176,27.39246331482894,-117.7599611760323,1251.036005301749
177,19.83529580951428,-110.8695658096686,1243.074640768428
178,25.17730832423894,-124.6571873318239,1262.927818970587
179,20.89352749238348,-130.7325787743611,1270.201253101326
180,26.95792110617576,-136.2619087488998,1276.590002308342
181,37.30609565549708,-135.7158466670144,1275.705317573866
182,41.58987654054727,-129.6404549249899,1268.431883534445
183,35.52548283614418,-124.1111254780169,1262.043134165376
184,24.24432468501303,-123.8065212205451,1261.944934465211
185,19.30150065302676,-130.816588242503,1270.337358470506
186,26.29887789078074,-137.1965844169543,1277.708992155689
187,38.2390792947497,-136.5665127723542,1276.688202081448
188,43.18190339643849,-129.5564453594377,1268.295778195262
189,36.18452604355402,-123.1764498584873,1260.92414430299
190,39.22109867802264,-121.5071094461882,1255.791169779816
191,12.48867845796888,-112.3070426824639,1231.220375659167
192,21.00026841499253,-109.8890854938354,1236.334896491779
193,27.9212244239745,-105.2834882157015,1237.862533025517
194,32.95619324517246,-99.51001001811106,1236.558682973961
195,35.25912171650795,-90.79676405228464,1229.909144615505
196,28.16961888488308,-85.55708144450587,1218.418607496988
197,15.79371245093568,-89.16357500768103,1211.072540154946
198,6.689301671524608,-97.38137394264,1211.215282574968
199,3.716573566715599,-104.0548901594505,1215.239449829988
200,4.32866822453436,-108.7761695088754,1220.486807461682
201,7.54532598118614,-111.6052979360538,1226.150640239286
202,-5.465048676239935,-113.0934320094604,1216.132058537798
203,-18.25259790397505,-121.5880564161435,1213.294622262669
204,-23.92655633682663,-134.3178799327655,1220.967734181148
205,-19.09826204285569,-142.4983754932627,1233.390658878561
206,-6.065321907137166,-138.5375573025852,1240.96438889153
207,2.226168668772491,-128.3706233208621,1238.160055442504
208,4.222015345620221,-120.4448839229464,1232.024034736322
209,3.07912279874157,-116.001902850981,1226.584830550747
210,-0.2578546325092532,-113.2912190171702,1220.932694915298
211,28.46740043785331,-105.5639790523707,1242.623247274424
212,34.63473971011656,-98.37589013650292,1240.910381329224
213,37.48409026112945,-87.46674484309418,1232.555014596577
214,28.86287387652602,-80.8089680400964,1218.296774406162
215,13.75327187233596,-85.19281211837172,1209.308824153469
216,2.611693503685196,-95.40180879826667,1209.635435915867
217,-3.735903732519251,-105.7957926084353,1214.384618531821
218,-21.73747463384855,-118.837150210986,1211.46990533841
219,-28.72316137089672,-134.3923498566882,1220.799737500466
220,-22.57266404904385,-144.3342137454529,1236.147323809294
221,-6.252852481510764,-139.4221150821481,1245.678602599431
222,6.34795587809141,-146.5932814738852,1253.304758292701
223,1.961820285419089,-143.5802283857898,1256.86090086032
226,9.307930119701249,-70.88642455157519,1238.957219173598
227,9.203460677427996,-70.5140000858359,1232.5426213949
228,12.52708360208256,-71.62655521168836,1226.978004893931
229,19.32138960532615,-72.79552518972872,1226.61983614943
230,23.10508209033861,-73.20314975277533,1231.664884295358
231,23.19831389110883,-74.00622668104897,1238.08717047161
232,22.68505759736481,-76.8323638478352,1243.712977694284
233,18.59136969851307,-79.09274534584918,1248.087554874348
234,11.81365027375191,-77.1666659778585,1248.688519338225
235,9.007539062922625,-73.36396336379504,1244.826084190964
236,9.280683133871808,-69.32591725220975,1239.309487648586
237,9.121810029707591,-68.92313283066457,1232.392611508818
238,12.5717171165584,-70.1032588682544,1226.490549846575
239,19.74107848451621,-71.32372596771316,1226.153271946291
240,23.77553784974776,-71.75373491158035,1231.566542868917
241,23.93257203125671,-72.65147181204516,1238.517851124654
242,23.42573403779228,-75.75612440568769,1244.636625712091
243,19.12625696271196,-78.25431837634173,1249.340950710045
244,12.00359360426641,-76.184710647632,1249.937422233981
245,8.991449077498682,-72.03058188895832,1245.710324143201
246,16.59074820410591,-71.03795695181729,1238.902109840226
247,16.81977074205404,-70.10381206816206,1239.1494399743
248,14.48869011224055,-64.99900352644843,1235.514587161608
249,13.51124237218992,-64.82391624535003,1231.827684511816
250,15.58126461938394,-65.78841055494004,1228.767582968603
251,19.13998775202405,-67.16620326952352,1228.638601196452
252,21.50762072657927,-67.91978804039947,1231.537865201638
253,20.90128772509545,-67.48169960943727,1235.282170221778
254,17.77756976807635,-66.18182802677521,1237.051978047527
255,13.98640055021974,-64.78001528524157,1235.981690494324
256,12.84900681127316,-64.57627738573392,1231.691476493491
257,15.25775996340806,-65.69859808389579,1228.130631047014
258,19.39881958501451,-67.30184791994957,1227.980543126592
259,22.1538833991887,-68.17874662131976,1231.354232132966
260,21.44833228992926,-67.66897088345394,1235.711241644078
261,17.81346050860641,-66.15639291342356,1237.770654425759
262,20.92314315208893,-70.0280270584946,1243.902177827767
263,21.35298867015632,-72.39031251886958,1246.871020282289
264,18.91030785140641,-73.10572969612764,1249.717214049827
265,15.43448907871032,-71.63555538152931,1250.297517015109
266,13.54289465796026,-69.08686150909708,1248.174948999673
267,14.65993390470643,-67.37886580886251,1244.94784723574
268,17.94445356692697,-67.79772340459493,1243.046285317421
269,21.4770239800799,-69.99934663404233,1243.443019654971
270,21.97720784072409,-72.74818797983397,1246.897672667793
271,19.13481562835943,-73.58067335050498,1250.209607255477
272,15.09022653525401,-71.86992492198789,1250.88486892894
273,12.88909848288148,-68.90417204635119,1248.414971603757
274,14.18892596779999,-66.91668615339407,1244.659798638171
275,18.0109124824039,-67.40408409204584,1242.447072039474
276,-10.59022622300232,-91.66807542238874,1234.732564509445
277,-10.69404688764334,-91.4470259443592,1228.890881227762
278,-9.060640077271128,-90.23497952109938,1223.873998615218
279,-6.492279847865265,-85.01675864939017,1222.091342938173
280,-5.287477308591872,-79.68368330424533,1225.614529302831
281,-6.566585307625409,-78.29205730558931,1231.319210113298
282,-7.498976528629743,-78.7792796393264,1237.07855472283
283,-6.514642348243408,-79.73693153690367,1242.628012020539
284,-4.778209087115377,-82.32208673010089,1247.095834641096
285,-4.787916310505881,-88.08099501102349,1248.546939499527
286,-7.093988557187188,-92.74419885716995,1245.490558692213
287,-9.105331701289069,-92.57903534275121,1240.298857086475
288,-12.03516207938649,-92.3424300730603,1234.864722621831
289,-12.21317491642853,-91.91570477806172,1228.710141314115
290,-10.47305713994514,-90.03242488237402,1223.149989376958
291,-7.708170383706483,-84.42477144821676,1221.236171042037
292,-6.392893301705469,-78.73787234959629,1224.948456003705
293,-7.753146231872253,-77.2673230910759,1230.999597915463
294,-8.747726817931007,-77.78636583450144,1237.200665841701
295,-7.688007847910991,-78.85290039962851,1243.261947009645
296,-5.79455959446829,-81.72556685409505,1248.178134119848
